Game-Phase,Game,Phase,Phase Start (PST),Phase End (PST)
UMVC3 (PS4)-Top 4,Ultimate Marvel vs. Capcom 3,Top 4,8/6/2022 7:00pm,8/6/2022 9:00pm
UNICLR (PS4)-Pools,Under Night In-Birth Exe:Late [cl-r],Pools,8/6/2022 10:00am,8/6/2022 11:30am
UNICLR (PS4)-Pools,Under Night In-Birth Exe:Late [cl-r],Pools,8/6/2022 11:30am,8/6/2022 1:00pm
UNICLR (PS4)-Pools,Under Night In-Birth Exe:Late [cl-r],Pools,8/6/2022 1:00pm,8/6/2022 2:30pm
UNICLR (PS4)-Pools,Under Night In-Birth Exe:Late [cl-r],Pools,8/6/2022 2:30pm,8/6/2022 4:00pm
UNICLR (PS4)-Top 8,Under Night In-Birth Exe:Late [cl-r],Top 8,8/6/2022 4:00pm,8/6/2022 6:00pm
USF2 (Switch)-Full Tourney,Ultra Street Fighter II,Full Tourney,8/5/2022 5:00pm,8/5/2022 8:00pm
USF4 (PS4)-Pools,Ultra Street Fighter IV,Pools,8/6/2022 10:00am,8/6/2022 1:00pm
USF4 (PS4)-Pools,Ultra Street Fighter IV,Pools,8/6/2022 1:00pm,8/6/2022 4:00pm
USF4 (PS4)-Top 8,Ultra Street Fighter IV,Top 8,8/6/2022 4:00pm,8/6/2022 6:00pm
VF5US (PS4)-Pools,Virtua Fighter 5 Ultimate Showdown,Pools,8/6/2022 4:00pm,8/6/2022 7:00pm
VSAV (Arcade-MiSTer)-Pools,Vampire Savior,Pools,8/6/2022 12:00pm,8/6/2022 2:00pm
VSAV (Arcade-MiSTer)-Pools,Vampire Savior,Pools,8/6/2022 2:00pm,8/6/2022 4:00pm
VSAV (Arcade-MiSTer)-Top 8,Vampire Savior,Top 8,8/6/2022 4:00pm,8/6/2022 6:00pm
WJ2 (PS4)-Full Tourney,Windjammers 2,Full Tourney,8/6/2022 10:00am,8/6/2022 4:00pm
SCVI (PS4)-Pools,Soulcalibur VI,Pools,8/5/2022 2:00pm,8/5/2022 4:00pm
VF5US (PS4)-Top 8,Virtua Fighter 5 Ultimate Showdown,Top 8,8/6/2022 7:00pm,8/6/2022 9:00pm
NASB (PC-Steam)-Top 4,Nickelodeon All-Star Brawl,Top 4,8/5/2022 4:30pm,8/5/2022 6:00pm
TMNTXJLT (PC)-Top 4,TMNT x Justice League Turbo,Top 4,8/5/2022 2:00pm,8/5/2022 4:00pm
3S (Arcade-Supergun)-Top 8,Street Fighter III: 3rd Strike,Top 8,8/6/2022 6:00pm,8/6/2022 8:00pm
3S (Arcade-Supergun)-Pools,Street Fighter III: 3rd Strike,Pools,8/6/2022 4:00pm,8/6/2022 8:00pm
