Tag,Twitter,Pronouns,Staff Page Blurb,Staff Page Profile Link,Staff Page Pic URL
Crackin Atkins,@CrackinAtkins,he/him,,,https://dl.airtable.com/.attachments/efa5a9ba3b1cb6d16c160826c3409f33/6706bf68/crackinatkins.png
Crow_77,,she/her,,,
CustomKristoff ,@CustomKristoff,he/him,,,
CyberHex,@CyberHexManiac,she/her,,,
D-mash,MashThegreatd,voi/void,,,
DarkHoward,@DarkHoward_FGC,he/him,"Hello and welcome to the Garou Championship at #vortexgallery23. 
 You can call me DarkHoward, Leader of the Brazilian gaming community in Brazil, and I hope I can make a great online event for you this year. 
 Everyone already has my contact, so any questions just call in direct messages, or on discord.",https://twitter.com/@DarkHoward_FGC,https://dl.airtable.com/.attachments/fa0240871ca5ab9e6a2e31ff1df01236/719f8e3a/DarkHoward.png
Dawn Hosie,@Yohosiefgc,she/her,"Fighting Game Idiot. Used to play things good, now I help run things and talk over things good. Hit me up if you need anything or want to chat.",,https://dl.airtable.com/.attachments/73715842d9effb5f0307156a0520de38/3e1d9a01/yohosie.png
debb,@debb__22,,name is debb. nice to meet you guys.,https://twitter.com/@debb__22,https://dl.airtable.com/.attachments/7d9c84becfbb678aba09554e53fbd8b7/f07cd6bf/MGaFV0HTtCcxrX4Z2qww
DeeAiZee,@DeeAiZee,he/him,,,
Deka Fumo Death Cult,@DekaFumoSlayer,he/him,,,
DeltaSierra4,@BlazeofWar60,"he/him,they/them",,,
DEMONLORD,@cureahegaoaxis,he/him,,,
Desselie,,he/him,,,
Devoltion,@devoltion_ray,,-,https://twitter.com/@devoltion_ray,https://dl.airtable.com/.attachments/c4df000e411008b0bede1e6e557ea9f3/da94d41e/UWtCwK7TP6kzMzIgde1q
