Game-Phase,Game-Short Name,Game-Abbr,Tournament,Game,Regions Abbr,Phase,Start (PST),Start (Local),TZ-Main Timezone,Start Date (Local),Pools Stream,Finals Stream,Pools Username,Finals Username
P4U2 - OCE - (PC-Steam)-Full Tourney,Persona,P4U2,P4U2 - OCE - (PC-Steam),Persona 4 Ultimax,OCE,Full Tourney,2/12/2023 12:00am,2/12/2023 7:00pm,AEDT,02/12 Sun,twitch.tv/Halowood,twitch.tv/Halowood,Halowood,Halowood
ARMS - EU - (Switch)-Full Tourney,ARMS,ARMS,ARMS - EU - (Switch),ARMS,EU,Full Tourney,2/12/2023 6:00am,2/12/2023 2:00pm,UTC,02/12 Sun,http://twitch.tv/eu_arms,http://twitch.tv/eu_arms,eu_arms,eu_arms
ADPB - ALL - (PC-Fightcade)-Full Tourney,Puzzle Bobble,ADPB,ADPB - ALL - (PC-Fightcade),Azumanga Daioh Puzzle Bobble,ALL,Full Tourney,2/12/2023 10:00am,2/12/2023 10:00am,PST,02/12 Sun,,,,
EFZ - SA/SUD - (PC-Caster)-Full Tourney,EFZ,EFZ,EFZ - SA/SUD - (PC-Caster),Eternal Fighter Zero,SA/SUD,Full Tourney,2/12/2023 11:00am,2/12/2023 4:00pm,BRT,02/12 Sun,https://twitch.tv/marmotato,https://twitch.tv/marmotato,marmotato,marmotato
P4U2 - SA/SUD - (PC-Steam)-Full Tourney,Persona,P4U2,P4U2 - SA/SUD - (PC-Steam),Persona 4 Ultimax,SA/SUD,Full Tourney,2/12/2023 12:00pm,2/12/2023 5:00pm,BRT,02/12 Sun,https://twitch.tv/lagfighterchile,https://twitch.tv/lagfighterchile,lagfighterchile,lagfighterchile
UNICLR - NA/WC - (PC-Steam)-Full Tourney,UNI,UNICLR,UNICLR - NA/WC - (PC-Steam),Under Night In-Birth Exe:Late [cl-r],NA/WC,Full Tourney,2/12/2023 12:00pm,2/12/2023 12:00pm,PST,02/12 Sun,https://www.twitch.tv/tabbynickel/,https://www.twitch.tv/tabbynickel/,#ERROR!,#ERROR!
TMNTTF - NA - (PC-Dolphin)-Full Tourney,TMNTTF,TMNTTF,TMNTTF - NA - (PC-Dolphin),Teenage Mutant Ninja Turtles Tournament Fighters,NA,Full Tourney,2/12/2023 1:00pm,2/12/2023 1:00pm,PST,02/12 Sun,https://twitch.tv/maccsensei,https://twitch.tv/maccsensei,maccsensei,maccsensei
MOTW - SA/BR - (PC-Fightcade)-Full Tourney,Garou,MOTW,MOTW - SA/BR - (PC-Fightcade),Garou: Mark of the Wolves,SA/BR,Full Tourney,2/12/2023 2:00pm,2/12/2023 7:00pm,BRT,02/12 Sun,https://twitch.tv/motwbr,https://twitch.tv/motwbr,motwbr,motwbr
GGACPR - NA - (PC-Steam)-Full Tourney,+R,GGACPR,GGACPR - NA - (PC-Steam),Guilty Gear XX Accent Core Plus R,NA,Full Tourney,2/12/2023 2:00pm,2/12/2023 2:00pm,PST,02/12 Sun,https://twitch.tv/guiltygearacprdiscord,https://twitch.tv/guiltygearacprdiscord,guiltygearacprdiscord,guiltygearacprdiscord
GBVS - SA/BR - (PS4)-Full Tourney,Granblue,GBVS,GBVS - SA/BR - (PS4),Granblue Fantasy Versus,SA/BR,Full Tourney,2/12/2023 3:00pm,2/12/2023 8:00pm,BRT,02/12 Sun,https://twitch.tv/EC_ShiroAoi,,EC_ShiroAoi,EC_ShiroAoi
